release_year,revenue_adj
2013,965278
2013,968410
2013,998252
2013,1088265
2013,1113517
2013,1155303
2013,1272921
2013,1363496
2013,1484158
2013,1497653
2013,1568212
2013,1923493
2013,2020934
2013,2082766
2013,2084703
2013,2247893
2013,2260962
2013,2509828
2013,2678010
2013,2729255
2013,2774311
2013,3091216
2013,3132208
2013,3338106
2013,3406548
2013,3809493
2013,4550079
2013,5145329
2013,5382567
2013,5492350
2013,5717966
2013,6416145
2013,6569259
2013,7301060
2013,7345054
2013,7462963
2013,7818579
2013,8007773
2013,8882796
2013,8887439
2013,9014417
2013,9360334
2013,9627942
2013,9676139
2013,9830164
2013,10203170
2013,10461548
2013,11304888
2013,12903234
2013,14048139
2013,14208333
2013,14414914
2013,14602120
2013,15449661
2013,15490862
2013,16273717
2013,16525586
2013,16848600
2013,16918371
2013,17468280
2013,17921044
2013,18024139
2013,18440947
2013,18978836
2013,20206807
2013,20373956
2013,20423637
2013,20882177
2013,21020041
2013,21714712
2013,22709638
2013,23563999
2013,23671228
2013,25448290
2013,25581792
2013,25682772
2013,26428581
2013,27144967
2013,29694988
2013,30169204
2013,30363975
2013,30828557
2013,33215713
2013,33632998
2013,34534225
2013,40184344
2013,40304565
2013,41185468
2013,41213779
2013,42034693
2013,43260317
2013,44220036
2013,44322350
2013,44991072
2013,47891310
2013,51667436
2013,53619956
2013,56210804
2013,56294621
2013,57705052
2013,58611269
2013,59276372
2013,59319014
2013,59405227
2013,63771501
2013,64186033
2013,66467105
2013,67043571
2013,69443319
2013,69825882
2013,71687346
2013,73365119
2013,77123802
2013,80662947
2013,80838061
2013,81528925
2013,83578334
2013,83614574
2013,84474786
2013,84772255
2013,88923169
2013,88942089
2013,91268382
2013,91303456
2013,91351370
2013,92046988
2013,93724900
2013,98471554
2013,102963669
2013,105345481
2013,108507022
2013,109497801
2013,110170090
2013,114314652
2013,115052644
2013,117506998
2013,117978881
2013,118451762
2013,123500625
2013,125805176
2013,137126800
2013,139745662
2013,141305912
2013,142119383
2013,148524325
2013,150725370
2013,162541270
2013,162837052
2013,163411534
2013,175038237
2013,176099064
2013,185042190
2013,192230115
2013,205729565
2013,210423550
2013,228245300
2013,231185522
2013,232496290
2013,235105189
2013,251256282
2013,252723500
2013,264495583
2013,267837239
2013,267863328
2013,285166475
2013,297658738
2013,325209979
2013,328585540
2013,338844141
2013,348088599
2013,366925724
2013,381529915
2013,388866326
2013,437469458
2013,449076042
2013,460405366
2013,497843379
2013,547746994
2013,620445513
2013,670567466
2013,695996592
2013,738230644
2013,793216615
2013,897094365
2013,908665502
2013,1137692373
2013,1192711491
2014,2496
2014,2539
2014,4827
2014,6605
2014,6636
2014,7600
2014,7613
2014,8583
2014,10580
2014,12683
2014,13768
2014,13882
2014,17143
2014,25982
2014,29706
2014,34219
2014,44572
2014,48897
2014,50582
2014,52110
2014,54537
2014,60295
2014,69214
2014,81307
2014,100222
2014,103159
2014,111617
2014,116196
2014,137553
2014,141402
2014,156563
2014,162472
2014,177218
2014,184592
2014,237995
2014,309921
2014,363831
2014,393691
2014,424772
2014,553480
2014,594275
2014,709890
2014,789856
2014,907281
2014,929952
2014,940361
2014,990337
2014,1035716
2014,1064781
2014,1077311
2014,1079113
2014,1232756
2014,1317764
2014,1384967
2014,1431375
2014,1497553
2014,1678458
2014,1682562
2014,1976699
2014,2083713
2014,2114294
2014,2174034
2014,2178810
2014,2180371
2014,2238241
2014,2257452
2014,2763273
2014,2877454
2014,3128694
2014,3159359
2014,3210119
2014,3218357
2014,3697062
2014,4089120
2014,4102101
2014,4151784
2014,4210330
2014,4269533
2014,4493305
2014,4605455
2014,4748524
2014,4867330
2014,4955701
2014,4978958
2014,5050618
2014,6149638
2014,6294225
2014,6610069
2014,6908183
2014,6929952
