release_year,budget_adj
2008,6076720
2008,6076720
2008,6076720
2008,6076720
2008,6076720
2008,6076720
2014,5987092
2014,5987092
2012,5983389
2008,5823523
2013,5820349
2011,5816388
2011,5816388
2011,5816388
2011,5816388
2011,5816388
2010,5800000
2010,5773100
2012,5698466
2012,5698466
2012,5698466
2012,5698466
2012,5688968
2013,5616200
2013,5616200
2013,5616200
2013,5616200
2013,5616200
2014,5526546
2014,5526546
2014,5526546
2014,5526546
2014,5526546
2014,5526546
2015,5519998
2015,5519998
2015,5519998
2015,5519998
2015,5519998
2015,5519998
2007,5468677
2014,5434437
2006,5408346
2006,5408346
2006,5408346
2006,5408346
2006,5408346
2006,5408346
2012,5318568
2007,5258343
2007,5258343
2009,5183642
2009,5143728
2009,5082002
2009,5082002
2009,5082002
2009,5082002
2014,5066001
2014,5066001
2014,5066001
2014,5066001
2008,5063933
2008,5063933
2008,5063933
2008,5063933
2008,5063933
2008,5063933
2012,5033645
2010,5000000
2010,5000000
2010,5000000
2010,5000000
2015,4875998
2013,4867373
2011,4846990
2011,4846990
2011,4846990
2011,4846990
2011,4846990
2011,4846990
2011,4846990
2007,4837675
2013,4785028
2008,4760097
2012,4748721
2012,4748721
2012,4748721
2012,4748721
2012,4748721
2012,4748721
2012,4748721
2012,4748721
2012,4748721
2012,4748721
2012,4748721
2012,4748721
2007,4732509
2013,4680167
2013,4680167
2013,4680167
2013,4680167
2013,4680167
2013,4680167
2013,4680167
2013,4680167
2013,4680167
2013,4680167
2013,4680167
2013,4680167
2008,4658819
2011,4651400
2014,4605455
2014,4605455
2014,4605455
2014,4605455
2014,4605455
2014,4605455
2014,4605455
2014,4605455
2014,4605455
2014,4605455
2014,4605455
2014,4605455
2014,4605455
2014,4605455
2014,4605455
2010,4600000
2015,4599998
2015,4599998
2015,4599998
2015,4599998
2015,4599998
2015,4599998
2013,4586563
2009,4573802
2009,4573802
2009,4573802
2009,4573802
2006,4543010
2014,4513346
2010,4500000
2010,4500000
2013,4492960
2010,4466000
2010,4400000
2009,4370522
2011,4362291
2008,4354983
2006,4326677
2006,4326677
2006,4326677
2006,4326677
2013,4305753
2008,4233448
2013,4212150
2013,4212150
2007,4206674
2007,4206674
2007,4206674
2007,4206674
2007,4206674
2007,4206674
2011,4185808
2011,4071472
2009,4065602
2009,4065602
2012,4060157
2008,4051147
2015,4047998
2006,4002176
2010,4000000
2010,4000000
2007,3996341
2011,3877592
2011,3877592
2011,3877592
2011,3877592
2011,3877592
2011,3877592
2011,3877592
2012,3798977
2012,3798977
2006,3785842
